Product Category,Gender,Marital Status,City,State or Province,Country,Purchase Date,Annual Income,Count of State or Province,Sum of Units Sold,Sum of Customer ID,Sum of Transactionno
,,,,,,04/11/2012,$10K - $30K,1,3,9648,3821
,,,,,,04/11/2012 Total,,1,3,9648,3821
,,,,,,20/02/2013,$30K - $50K,1,4,2422,6056
,,,,,,20/02/2013 Total,,1,4,2422,6056
,,,,,,26/02/2013,$10K - $30K,1,5,7149,6243
,,,,,,26/02/2013 Total,,1,5,7149,6243
,,,,,,09/03/2013,$150K +,1,3,10118,6534
,,,,,,09/03/2013 Total,,1,3,10118,6534
,,,,,,08/05/2013,$10K - $30K,1,5,6544,8141
,,,,,,,$130K - $150K,1,3,2468,8142
,,,,,,08/05/2013 Total,,2,8,9012,16283
,,,,,,09/08/2013,$50K - $70K,1,3,154,10676
,,,,,,09/08/2013 Total,,1,3,154,10676
,,,,,,11/09/2013,$10K - $30K,1,3,7182,11531
,,,,,,11/09/2013 Total,,1,3,7182,11531
,,,,,,07/11/2013,$30K - $50K,1,3,9032,13127
,,,,,,07/11/2013 Total,,1,3,9032,13127
,,,,,USA Total,,,14,54,87906,77882
,,,,OR Total,,,,14,54,87906,77882
,,,Salem Total,,,,,14,54,87906,77882
,,,San Andres,DF,Mexico,01/02/2013,$70K - $90K,1,4,8462,5527
,,,,,,01/02/2013 Total,,1,4,8462,5527
,,,,,,11/03/2013,$10K - $30K,1,3,9435,6587
,,,,,,11/03/2013 Total,,1,3,9435,6587
,,,,,,11/07/2013,$70K - $90K,1,5,7074,9875
,,,,,,11/07/2013 Total,,1,5,7074,9875
,,,,,,17/10/2013,$70K - $90K,1,3,5140,12528
,,,,,,17/10/2013 Total,,1,3,5140,12528
,,,,,,24/10/2013,$30K - $50K,1,4,5343,12722
,,,,,,,$70K - $90K,1,3,9311,12732
,,,,,,24/10/2013 Total,,2,7,14654,25454
,,,,,Mexico Total,,,6,22,44765,59971
,,,,DF Total,,,,6,22,44765,59971
,,,San Andres Total,,,,,6,22,44765,59971
,,,San Diego,CA,USA,02/05/2012,$50K - $70K,1,3,9440,1548
,,,,,,02/05/2012 Total,,1,3,9440,1548
,,,,,,17/09/2012,$10K - $30K,1,4,4133,3237
,,,,,,17/09/2012 Total,,1,4,4133,3237
,,,,,,25/09/2012,$10K - $30K,1,5,900,3324
,,,,,,25/09/2012 Total,,1,5,900,3324
,,,,,,14/10/2012,$10K - $30K,1,3,900,3572
,,,,,,14/10/2012 Total,,1,3,900,3572
,,,,,,31/10/2012,$30K - $50K,1,4,4082,3779
,,,,,,31/10/2012 Total,,1,4,4082,3779
,,,,,,20/02/2013,$90K - $110K,1,5,4011,6049
,,,,,,20/02/2013 Total,,1,5,4011,6049
,,,,,,17/07/2013,$10K - $30K,1,2,5167,10070
,,,,,,17/07/2013 Total,,1,2,5167,10070
,,,,,,01/08/2013,$10K - $30K,1,4,5167,10446
,,,,,,01/08/2013 Total,,1,4,5167,10446
,,,,,USA Total,,,8,30,33800,42025
,,,,CA Total,,,,8,30,33800,42025
,,,San Diego Total,,,,,8,30,33800,42025
,,,San Francisco,CA,USA,26/03/2013,$30K - $50K,1,4,6025,6966
,,,,,,26/03/2013 Total,,1,4,6025,6966
,,,,,,24/07/2013,$70K - $90K,1,2,9048,10258
,,,,,,24/07/2013 Total,,1,2,9048,10258
,,,,,USA Total,,,2,6,15073,17224
,,,,CA Total,,,,2,6,15073,17224
,,,San Francisco Total,,,,,2,6,15073,17224
,,,Seattle,WA,USA,15/04/2012,$30K - $50K,1,4,594,1321
,,,,,,15/04/2012 Total,,1,4,594,1321
,,,,,,22/04/2012,$70K - $90K,1,5,3236,1424
,,,,,,22/04/2012 Total,,1,5,3236,1424
,,,,,,18/03/2013,$30K - $50K,1,5,9746,6772
,,,,,,18/03/2013 Total,,1,5,9746,6772
,,,,,,08/04/2013,$50K - $70K,1,4,6318,7307
,,,,,,08/04/2013 Total,,1,4,6318,7307
,,,,,,07/09/2013,$30K - $50K,1,4,5449,11410
,,,,,,07/09/2013 Total,,1,4,5449,11410
,,,,,USA Total,,,5,22,25343,28234
,,,,WA Total,,,,5,22,25343,28234
,,,Seattle Total,,,,,5,22,25343,28234
,,,Spokane,WA,USA,22/02/2012,$10K - $30K,1,5,9928,559
,,,,,,22/02/2012 Total,,1,5,9928,559
,,,,,,19/03/2012,$30K - $50K,1,4,2921,915
,,,,,,19/03/2012 Total,,1,4,2921,915
,,,,,,30/03/2012,$30K - $50K,1,4,2921,1076
,,,,,,30/03/2012 Total,,1,4,2921,1076
,,,,,,06/07/2012,$50K - $70K,1,4,4925,2349
,,,,,,06/07/2012 Total,,1,4,4925,2349
,,,,,,11/09/2012,$10K - $30K,1,6,4094,3160
,,,,,,11/09/2012 Total,,1,6,4094,3160
,,,,,,14/06/2013,$10K - $30K,1,6,5592,9156
,,,,,,14/06/2013 Total,,1,6,5592,9156
,,,,,USA Total,,,6,29,30381,17215
,,,,WA Total,,,,6,29,30381,17215
,,,Spokane Total,,,,,6,29,30381,17215
,,,Tacoma,WA,USA,27/01/2012,$50K - $70K,1,2,2664,233
,,,,,,27/01/2012 Total,,1,2,2664,233
,,,,,,09/02/2013,$10K - $30K,1,3,3310,5750
,,,,,,09/02/2013 Total,,1,3,3310,5750
,,,,,,14/03/2013,$10K - $30K,1,5,6161,6652
,,,,,,14/03/2013 Total,,1,5,6161,6652
,,,,,,04/05/2013,$30K - $50K,1,4,3397,8003
,,,,,,04/05/2013 Total,,1,4,3397,8003
,,,,,,24/06/2013,$10K - $30K,1,4,5050,9424
,,,,,,24/06/2013 Total,,1,4,5050,9424
,,,,,,28/07/2013,$150K +,1,4,7713,10358
,,,,,,28/07/2013 Total,,1,4,7713,10358
,,,,,,17/09/2013,$30K - $50K,1,4,5092,11701
,,,,,,17/09/2013 Total,,1,4,5092,11701
,,,,,,24/09/2013,$30K - $50K,1,4,4231,11902
,,,,,,24/09/2013 Total,,1,4,4231,11902
,,,,,,04/10/2013,$70K - $90K,1,7,9715,12171
,,,,,,04/10/2013 Total,,1,7,9715,12171
,,,,,USA Total,,,9,37,47333,76194
,,,,WA Total,,,,9,37,47333,76194
,,,Tacoma Total,,,,,9,37,47333,76194
,,,Vancouver,BC,Canada,23/02/2013,$30K - $50K,1,5,3644,6145
,,,,,,23/02/2013 Total,,1,5,3644,6145
,,,,,,26/02/2013,$110K - $130K,1,3,1109,6232
,,,,,,26/02/2013 Total,,1,3,1109,6232
,,,,,,01/05/2013,$30K - $50K,1,4,8352,7944
,,,,,,01/05/2013 Total,,1,4,8352,7944
,,,,,,08/07/2013,$30K - $50K,1,7,1408,9788
,,,,,,08/07/2013 Total,,1,7,1408,9788
,,,,,,11/07/2013,$50K - $70K,1,3,943,9886
,,,,,,11/07/2013 Total,,1,3,943,9886
,,,,,,06/09/2013,$10K - $30K,1,3,3016,11387
,,,,,,06/09/2013 Total,,1,3,3016,11387
,,,,,,28/11/2013,$30K - $50K,1,5,1190,13682
,,,,,,28/11/2013 Total,,1,5,1190,13682
,,,,,Canada Total,,,7,30,19662,65064
,,,,BC Total,,,,7,30,19662,65064
,,,Vancouver Total,,,,,7,30,19662,65064
,,,Victoria,BC,Canada,20/01/2013,$10K - $30K,1,3,4475,5196
,,,,,,20/01/2013 Total,,1,3,4475,5196
,,,,,,12/03/2013,$30K - $50K,1,6,7451,6610
,,,,,,12/03/2013 Total,,1,6,7451,6610
,,,,,,26/08/2013,$50K - $70K,1,3,4826,11111
,,,,,,26/08/2013 Total,,1,3,4826,11111
,,,,,Canada Total,,,3,12,16752,22917
,,,,BC Total,,,,3,12,16752,22917
,,,Victoria Total,,,,,3,12,16752,22917
,,,Walla Walla,WA,USA,17/05/2012,$30K - $50K,1,1,8418,1745
,,,,,,17/05/2012 Total,,1,1,8418,1745
,,,,,,05/03/2013,$50K - $70K,1,3,8284,6423
,,,,,,05/03/2013 Total,,1,3,8284,6423
,,,,,USA Total,,,2,4,16702,8168
,,,,WA Total,,,,2,4,16702,8168
,,,Walla Walla Total,,,,,2,4,16702,8168
,,,Yakima,WA,USA,30/10/2013,$30K - $50K,1,4,2952,12886
,,,,,,30/10/2013 Total,,1,4,2952,12886
,,,,,USA Total,,,1,4,2952,12886
,,,,WA Total,,,,1,4,2952,12886
,,,Yakima Total,,,,,1,4,2952,12886
,,S Total,,,,,,121,488,652434,889816
,F Total,,,,,,,239,933,1274979,1708702
,M,M,Acapulco,Guerrero,Mexico,30/12/2012,$70K - $90K,1,3,489,4699
,,,,,,30/12/2012 Total,,1,3,489,4699
,,,,,,25/03/2013,$30K - $50K,1,4,2341,6933
,,,,,,25/03/2013 Total,,1,4,2341,6933
,,,,,,17/04/2013,$30K - $50K,1,2,2433,7551
,,,,,,17/04/2013 Total,,1,2,2433,7551
,,,,,,18/05/2013,$130K - $150K,1,4,1948,8398
,,,,,,18/05/2013 Total,,1,4,1948,8398
,,,,,,27/08/2013,$50K - $70K,1,5,9942,11135
,,,,,,27/08/2013 Total,,1,5,9942,11135
,,,,,Mexico Total,,,5,18,17153,38716
,,,,Guerrero Total,,,,5,18,17153,38716
,,,Acapulco Total,,,,,5,18,17153,38716
,,,Beverly Hills,CA,USA,26/12/2011,$30K - $50K,1,5,3097,12
,,,,,,26/12/2011 Total,,1,5,3097,12
,,,,,,31/03/2012,$30K - $50K,1,4,8457,1101
,,,,,,31/03/2012 Total,,1,4,8457,1101
,,,,,,28/04/2012,$10K - $30K,1,5,5107,1504
,,,,,,28/04/2012 Total,,1,5,5107,1504
,,,,,,12/12/2012,$150K +,1,4,10050,4376
,,,,,,12/12/2012 Total,,1,4,10050,4376
,,,,,,08/04/2013,$30K - $50K,1,4,5155,7320
,,,,,,08/04/2013 Total,,1,4,5155,7320
,,,,,,18/05/2013,$70K - $90K,1,4,1162,8397
,,,,,,18/05/2013 Total,,1,4,1162,8397
,,,,,,23/11/2013,$30K - $50K,1,3,5311,13561
,,,,,,23/11/2013 Total,,1,3,5311,13561
,,,,,USA Total,,,7,29,38339,36271
,,,,CA Total,,,,7,29,38339,36271
,,,Beverly Hills Total,,,,,7,29,38339,36271
,,,Bremerton,WA,USA,08/03/2012,$30K - $50K,1,2,1533,746
,,,,,,08/03/2012 Total,,1,2,1533,746
,,,,,,18/07/2012,$10K - $30K,1,3,9642,2512
,,,,,,18/07/2012 Total,,1,3,9642,2512
,,,,,,26/09/2012,$30K - $50K,1,5,1533,3335
,,,,,,26/09/2012 Total,,1,5,1533,3335
,,,,,,18/12/2012,$10K - $30K,1,5,4778,4474
,,,,,,18/12/2012 Total,,1,5,4778,4474
,,,,,,19/02/2013,$70K - $90K,1,5,4417,6032
,,,,,,19/02/2013 Total,,1,5,4417,6032
,,,,,,20/06/2013,$30K - $50K,1,6,3676,9306
,,,,,,20/06/2013 Total,,1,6,3676,9306
,,,,,USA Total,,,6,26,25579,26405
,,,,WA Total,,,,6,26,25579,26405
,,,Bremerton Total,,,,,6,26,25579,26405
,,,Camacho,Zacatecas,Mexico,29/04/2013,$50K - $70K,1,5,7746,7870
,,,,,,29/04/2013 Total,,1,5,7746,7870
,,,,,,13/05/2013,$10K - $30K,1,6,4947,8273
,,,,,,13/05/2013 Total,,1,6,4947,8273
,,,,,,20/05/2013,$50K - $70K,1,4,48,8453
,,,,,,20/05/2013 Total,,1,4,48,8453
,,,,,,08/11/2013,$10K - $30K,1,6,9398,13156
,,,,,,08/11/2013 Total,,1,6,9398,13156
,,,,,Mexico Total,,,4,21,22139,37752
,,,,Zacatecas Total,,,,4,21,22139,37752
,,,Camacho Total,,,,,4,21,22139,37752
,,,Hidalgo,Zacatecas,Mexico,01/03/2013,$90K - $110K,1,3,850,6323
,,,,,,01/03/2013 Total,,1,3,850,6323
,,,,,,01/06/2013,$50K - $70K,1,4,6669,8794
,,,,,,01/06/2013 Total,,1,4,6669,8794
,,,,,Mexico Total,,,2,7,7519,15117
,,,,Zacatecas Total,,,,2,7,7519,15117
,,,Hidalgo Total,,,,,2,7,7519,15117
,,,Los Angeles,CA,USA,30/01/2012,$70K - $90K,1,4,7801,269
,,,,,,30/01/2012 Total,,1,4,7801,269
,,,,,,08/02/2012,$70K - $90K,1,3,4828,397
,,,,,,08/02/2012 Total,,1,3,4828,397
,,,,,,01/03/2012,$50K - $70K,1,2,1743,656
,,,,,,01/03/2012 Total,,1,2,1743,656
,,,,,,05/07/2012,$70K - $90K,1,5,3222,2338
,,,,,,05/07/2012 Total,,1,5,3222,2338
,,,,,,22/07/2012,$30K - $50K,1,3,3099,2554
,,,,,,22/07/2012 Total,,1,3,3099,2554
,,,,,,02/11/2012,$30K - $50K,1,4,3922,3791
,,,,,,02/11/2012 Total,,1,4,3922,3791
,,,,,,24/01/2013,$10K - $30K,1,7,927,5297
,,,,,,24/01/2013 Total,,1,7,927,5297
,,,,,,01/07/2013,$30K - $50K,1,3,370,9606
,,,,,,01/07/2013 Total,,1,3,370,9606
,,,,,,13/08/2013,$10K - $30K,1,4,9112,10794
,,,,,,13/08/2013 Total,,1,4,9112,10794
,,,,,,23/08/2013,$30K - $50K,1,5,9500,11034
,,,,,,23/08/2013 Total,,1,5,9500,11034
,,,,,,01/12/2013,$70K - $90K,1,5,2596,13742
,,,,,,01/12/2013 Total,,1,5,2596,13742
,,,,,USA Total,,,11,45,47120,60478
,,,,CA Total,,,,11,45,47120,60478
,,,Los Angeles Total,,,,,11,45,47120,60478
,,,Merida,Yucatan,Mexico,22/01/2013,$130K - $150K,1,5,2130,5253
,,,,,,22/01/2013 Total,,1,5,2130,5253
,,,,,,31/07/2013,$10K - $30K,1,5,6394,10425
,,,,,,31/07/2013 Total,,1,5,6394,10425
,,,,,Mexico Total,,,2,10,8524,15678
,,,,Yucatan Total,,,,2,10,8524,15678
,,,Merida Total,,,,,2,10,8524,15678
,,,Mexico City,DF,Mexico,24/07/2013,$30K - $50K,1,2,6525,10253
,,,,,,24/07/2013 Total,,1,2,6525,10253
,,,,,Mexico Total,,,1,2,6525,10253
,,,,DF Total,,,,1,2,6525,10253
,,,Mexico City Total,,,,,1,2,6525,10253
,,,Orizaba,Veracruz,Mexico,22/02/2013,$30K - $50K,1,5,2697,6125
,,,,,,22/02/2013 Total,,1,5,2697,6125
,,,,,,17/09/2013,$50K - $70K,1,6,3795,11702
,,,,,,17/09/2013 Total,,1,6,3795,11702
,,,,,,01/10/2013,$30K - $50K,1,4,9573,12100
,,,,,,01/10/2013 Total,,1,4,9573,12100
,,,,,,02/12/2013,$10K - $30K,1,3,5605,13775
,,,,,,02/12/2013 Total,,1,3,5605,13775
,,,,,Mexico Total,,,4,18,21670,43702
,,,,Veracruz Total,,,,4,18,21670,43702
,,,Orizaba Total,,,,,4,18,21670,43702
,,,Portland,OR,USA,14/01/2012,$70K - $90K,1,2,5499,113
,,,,,,14/01/2012 Total,,1,2,5499,113
,,,,,,04/02/2012,$30K - $50K,1,3,4461,349
,,,,,,04/02/2012 Total,,1,3,4461,349
,,,,,,23/04/2012,$90K - $110K,1,4,638,1440
,,,,,,23/04/2012 Total,,1,4,638,1440
,,,,,,23/05/2012,$10K - $30K,1,3,6194,1827
,,,,,,23/05/2012 Total,,1,3,6194,1827
,,,,,,13/08/2013,$50K - $70K,1,4,1606,10775
,,,,,,13/08/2013 Total,,1,4,1606,10775
,,,,,,22/10/2013,$30K - $50K,1,6,6181,12662
,,,,,,22/10/2013 Total,,1,6,6181,12662
,,,,,USA Total,,,6,22,24579,27166
,,,,OR Total,,,,6,22,24579,27166
,,,Portland Total,,,,,6,22,24579,27166
,,,Salem,OR,USA,25/03/2012,$30K - $50K,1,6,6713,999
,,,,,,25/03/2012 Total,,1,6,6713,999
,,,,,,30/03/2012,$10K - $30K,1,4,3113,1078
,,,,,,30/03/2012 Total,,1,4,3113,1078
,,,,,,19/07/2012,$130K - $150K,1,3,6744,2522
,,,,,,19/07/2012 Total,,1,3,6744,2522
,,,,,,25/07/2012,$50K - $70K,1,4,9162,2583
,,,,,,25/07/2012 Total,,1,4,9162,2583
,,,,,,02/08/2012,$50K - $70K,1,4,7546,2681
,,,,,,02/08/2012 Total,,1,4,7546,2681
,,,,,,16/09/2012,$50K - $70K,1,2,7546,3229
,,,,,,16/09/2012 Total,,1,2,7546,3229
,,,,,,04/11/2012,$70K - $90K,1,4,10176,3827
,,,,,,04/11/2012 Total,,1,4,10176,3827
,,,,,,27/12/2012,$10K - $30K,1,6,2086,4624
,,,,,,27/12/2012 Total,,1,6,2086,4624
,,,,,,14/02/2013,$110K - $130K,1,4,1035,5883
,,,,,,14/02/2013 Total,,1,4,1035,5883
,,,,,,23/02/2013,$90K - $110K,1,4,4623,6152
,,,,,,23/02/2013 Total,,1,4,4623,6152
,,,,,,11/03/2013,$30K - $50K,1,5,6087,6585
,,,,,,11/03/2013 Total,,1,5,6087,6585
,,,,,,08/04/2013,$90K - $110K,1,4,7952,7308
,,,,,,08/04/2013 Total,,1,4,7952,7308
,,,,,,12/05/2013,$30K - $50K,1,6,10106,8244
,,,,,,12/05/2013 Total,,1,6,10106,8244
,,,,,,06/06/2013,$30K - $50K,1,4,7882,8917
,,,,,,06/06/2013 Total,,1,4,7882,8917
,,,,,,26/11/2013,$110K - $130K,1,4,1035,13625
,,,,,,26/11/2013 Total,,1,4,1035,13625
,,,,,USA Total,,,15,64,91806,78257
,,,,OR Total,,,,15,64,91806,78257
,,,Salem Total,,,,,15,64,91806,78257
,,,San Andres,DF,Mexico,03/01/2013,$10K - $30K,1,6,211,4797
,,,,,,03/01/2013 Total,,1,6,211,4797
,,,,,,22/04/2013,$30K - $50K,1,5,7816,7689
,,,,,,22/04/2013 Total,,1,5,7816,7689
,,,,,,25/06/2013,$30K - $50K,1,4,2790,9433
,,,,,,25/06/2013 Total,,1,4,2790,9433
,,,,,,08/08/2013,$50K - $70K,1,3,8,10623
,,,,,,08/08/2013 Total,,1,3,8,10623
,,,,,,24/10/2013,$10K - $30K,1,7,211,12736
,,,,,,24/10/2013 Total,,1,7,211,12736
,,,,,,16/11/2013,$30K - $50K,1,4,3372,13394
,,,,,,16/11/2013 Total,,1,4,3372,13394
,,,,,Mexico Total,,,6,29,14408,58672
,,,,DF Total,,,,6,29,14408,58672
,,,San Andres Total,,,,,6,29,14408,58672
,,,San Diego,CA,USA,06/01/2012,$70K - $90K,1,3,1596,62
,,,,,,06/01/2012 Total,,1,3,1596,62
,,,,,,02/07/2012,$10K - $30K,1,6,2612,2311
,,,,,,02/07/2012 Total,,1,6,2612,2311
,,,,,,03/01/2013,$50K - $70K,1,5,2958,4784
,,,,,,03/01/2013 Total,,1,5,2958,4784
,,,,,,18/01/2013,$90K - $110K,1,3,7449,5134
,,,,,,18/01/2013 Total,,1,3,7449,5134
,,,,,,03/05/2013,$30K - $50K,1,4,1286,8000
,,,,,,03/05/2013 Total,,1,4,1286,8000
,,,,,,09/06/2013,$50K - $70K,1,4,4179,9025
,,,,,,09/06/2013 Total,,1,4,4179,9025
,,,,,,19/07/2013,$70K - $90K,1,5,7555,10140
,,,,,,19/07/2013 Total,,1,5,7555,10140
,,,,,,20/09/2013,$50K - $70K,1,6,2144,11769
,,,,,,20/09/2013 Total,,1,6,2144,11769
,,,,,,02/12/2013,$70K - $90K,1,4,9288,13758
,,,,,,02/12/2013 Total,,1,4,9288,13758
,,,,,USA Total,,,9,40,39067,64983
,,,,CA Total,,,,9,40,39067,64983
,,,San Diego Total,,,,,9,40,39067,64983
,,,San Francisco,CA,USA,11/06/2012,$150K +,1,2,3409,2060
,,,,,,11/06/2012 Total,,1,2,3409,2060
,,,,,,13/03/2013,$10K - $30K,1,3,1111,6637
,,,,,,13/03/2013 Total,,1,3,1111,6637
,,,,,USA Total,,,2,5,4520,8697
,,,,CA Total,,,,2,5,4520,8697
,,,San Francisco Total,,,,,2,5,4520,8697
,,,Seattle,WA,USA,25/02/2012,$30K - $50K,1,6,8107,590
,,,,,,25/02/2012 Total,,1,6,8107,590
,,,,,,28/02/2012,$50K - $70K,1,6,4205,627
,,,,,,28/02/2012 Total,,1,6,4205,627
,,,,,,27/08/2012,$50K - $70K,1,3,9773,2989
,,,,,,27/08/2012 Total,,1,3,9773,2989
,,,,,,30/08/2012,$130K - $150K,1,3,9767,3024
,,,,,,30/08/2012 Total,,1,3,9767,3024
,,,,,USA Total,,,4,18,31852,7230
,,,,WA Total,,,,4,18,31852,7230
,,,Seattle Total,,,,,4,18,31852,7230
,,,Spokane,WA,USA,21/05/2012,$30K - $50K,1,3,9815,1804
,,,,,,21/05/2012 Total,,1,3,9815,1804
,,,,,,02/07/2012,$30K - $50K,1,3,5374,2305
,,,,,,02/07/2012 Total,,1,3,5374,2305
,,,,,,27/07/2012,$30K - $50K,1,4,5374,2613
,,,,,,27/07/2012 Total,,1,4,5374,2613
,,,,,,16/08/2012,$50K - $70K,1,7,1567,2861
,,,,,,16/08/2012 Total,,1,7,1567,2861
,,,,,,04/11/2012,$50K - $70K,1,5,2553,3831
,,,,,,04/11/2012 Total,,1,5,2553,3831
,,,,,,14/12/2012,$110K - $130K,1,4,6712,4397
,,,,,,14/12/2012 Total,,1,4,6712,4397
,,,,,,20/02/2013,$30K - $50K,1,5,4021,6065
,,,,,,20/02/2013 Total,,1,5,4021,6065
,,,,,,25/02/2013,$30K - $50K,1,4,5174,6212
,,,,,,25/02/2013 Total,,1,4,5174,6212
,,,,,,24/04/2013,$50K - $70K,1,2,1567,7746
,,,,,,24/04/2013 Total,,1,2,1567,7746
,,,,,,08/06/2013,$70K - $90K,1,2,3567,8989
,,,,,,08/06/2013 Total,,1,2,3567,8989
,,,,,,20/07/2013,$110K - $130K,1,5,9318,10156
,,,,,,20/07/2013 Total,,1,5,9318,10156
,,,,,,19/09/2013,$50K - $70K,1,5,2553,11739
,,,,,,19/09/2013 Total,,1,5,2553,11739
,,,,,,12/10/2013,$10K - $30K,1,4,8427,12393
,,,,,,12/10/2013 Total,,1,4,8427,12393
,,,,,,10/12/2013,$50K - $70K,1,5,1567,13892
,,,,,,10/12/2013 Total,,1,5,1567,13892
,,,,,USA Total,,,14,58,67589,95003
,,,,WA Total,,,,14,58,67589,95003
,,,Spokane Total,,,,,14,58,67589,95003
,,,Tacoma,WA,USA,08/06/2012,$50K - $70K,1,4,8172,2024
,,,,,,08/06/2012 Total,,1,4,8172,2024
,,,,,,29/06/2012,$50K - $70K,1,4,7241,2272
,,,,,,29/06/2012 Total,,1,4,7241,2272
,,,,,,23/08/2012,$110K - $130K,1,5,9639,2944
,,,,,,23/08/2012 Total,,1,5,9639,2944
,,,,,,30/08/2012,$90K - $110K,1,5,6168,3026
,,,,,,30/08/2012 Total,,1,5,6168,3026
,,,,,,12/10/2012,$30K - $50K,1,6,4204,3556
,,,,,,12/10/2012 Total,,1,6,4204,3556
,,,,,,28/12/2012,$110K - $130K,1,3,9366,4657
,,,,,,28/12/2012 Total,,1,3,9366,4657
,,,,,,11/02/2013,$30K - $50K,1,4,10243,5787
,,,,,,11/02/2013 Total,,1,4,10243,5787
,,,,,,19/10/2013,$10K - $30K,1,3,8466,12586
,,,,,,19/10/2013 Total,,1,3,8466,12586
,,,,,USA Total,,,8,34,63499,36852
,,,,WA Total,,,,8,34,63499,36852
,,,Tacoma Total,,,,,8,34,63499,36852
,,,Vancouver,BC,Canada,07/02/2013,$50K - $70K,1,7,6821,5700
,,,,,,07/02/2013 Total,,1,7,6821,5700
,,,,,,27/03/2013,$10K - $30K,1,6,1022,6979
,,,,,,27/03/2013 Total,,1,6,1022,6979
,,,,,,05/04/2013,$10K - $30K,1,3,1022,7224
,,,,,,05/04/2013 Total,,1,3,1022,7224
,,,,,,17/06/2013,$50K - $70K,1,4,3964,9216
,,,,,,17/06/2013 Total,,1,4,3964,9216
,,,,,,09/07/2013,$10K - $30K,1,3,5959,9823
,,,,,,09/07/2013 Total,,1,3,5959,9823
,,,,,,22/10/2013,$150K +,1,3,1625,12668
,,,,,,22/10/2013 Total,,1,3,1625,12668
,,,,,,12/12/2013,$30K - $50K,1,4,7011,13925
,,,,,,12/12/2013 Total,,1,4,7011,13925
,,,,,Canada Total,,,7,30,27424,65535
,,,,BC Total,,,,7,30,27424,65535
,,,Vancouver Total,,,,,7,30,27424,65535
,,,Victoria,BC,Canada,13/08/2013,$30K - $50K,1,5,9896,10774
,,,,,,13/08/2013 Total,,1,5,9896,10774
,,,,,Canada Total,,,1,5,9896,10774
,,,,BC Total,,,,1,5,9896,10774
,,,Victoria Total,,,,,1,5,9896,10774
,,,Walla Walla,WA,USA,13/03/2012,$90K - $110K,1,4,6675,819
,,,,,,13/03/2012 Total,,1,4,6675,819
,,,,,,20/10/2013,$30K - $50K,1,1,3673,12612
,,,,,,20/10/2013 Total,,1,1,3673,12612
,,,,,USA Total,,,2,5,10348,13431
,,,,WA Total,,,,2,5,10348,13431
,,,Walla Walla Total,,,,,2,5,10348,13431
,,,Yakima,WA,USA,16/09/2013,$50K - $70K,1,4,9016,11668
,,,,,,16/09/2013 Total,,1,4,9016,11668
,,,,,USA Total,,,1,4,9016,11668
,,,,WA Total,,,,1,4,9016,11668
,,,Yakima Total,,,,,1,4,9016,11668
,,M Total,,,,,,117,490,588572,762640
,,S,Acapulco,Guerrero,Mexico,04/10/2013,$10K - $30K,1,6,71,12180
,,,,,,04/10/2013 Total,,1,6,71,12180
,,,,,Mexico Total,,,1,6,71,12180
,,,,Guerrero Total,,,,1,6,71,12180
,,,Acapulco Total,,,,,1,6,71,12180
,,,Beverly Hills,CA,USA,11/06/2012,$10K - $30K,1,4,170,2048
,,,,,,11/06/2012 Total,,1,4,170,2048
,,,,,,20/03/2013,$30K - $50K,1,2,1826,6810
,,,,,,20/03/2013 Total,,1,2,1826,6810
,,,,,,06/05/2013,$50K - $70K,1,4,7379,8064
,,,,,,06/05/2013 Total,,1,4,7379,8064
,,,,,,13/06/2013,$50K - $70K,1,2,8029,9109
,,,,,,13/06/2013 Total,,1,2,8029,9109
,,,,,,15/07/2013,$90K - $110K,1,5,1427,9998
,,,,,,15/07/2013 Total,,1,5,1427,9998
,,,,,,17/08/2013,$130K - $150K,1,4,7481,10897
,,,,,,17/08/2013 Total,,1,4,7481,10897
,,,,,,22/09/2013,$30K - $50K,1,4,5954,11836
