Product Category,Gender,Marital Status,City,State or Province,Country,Purchase Date,Annual Income,Count of State or Province,Sum of Units Sold,Sum of Customer ID,Sum of Transactionno
,,,,,,,$50K - $70K,1,6,3239,13612
,,,,,,25/11/2013 Total,,2,11,9210,27219
,,,,,USA Total,,,9,38,44939,65715
,,,,WA Total,,,,9,38,44939,65715
,,,Tacoma Total,,,,,9,38,44939,65715
,,,Vancouver,BC,Canada,20/04/2013,$130K - $150K,1,3,494,7614
,,,,,,20/04/2013 Total,,1,3,494,7614
,,,,,,21/05/2013,$10K - $30K,1,5,9919,8476
,,,,,,21/05/2013 Total,,1,5,9919,8476
,,,,,,22/05/2013,$110K - $130K,1,6,2457,8503
,,,,,,22/05/2013 Total,,1,6,2457,8503
,,,,,,03/06/2013,$110K - $130K,1,3,6272,8848
,,,,,,03/06/2013 Total,,1,3,6272,8848
,,,,,,12/07/2013,$10K - $30K,1,4,822,9918
,,,,,,12/07/2013 Total,,1,4,822,9918
,,,,,,15/07/2013,$110K - $130K,1,3,6769,10000
,,,,,,15/07/2013 Total,,1,3,6769,10000
,,,,,,22/08/2013,$70K - $90K,1,5,3537,11014
,,,,,,22/08/2013 Total,,1,5,3537,11014
,,,,,Canada Total,,,7,29,30270,64373
,,,,BC Total,,,,7,29,30270,64373
,,,Vancouver Total,,,,,7,29,30270,64373
,,,Victoria,BC,Canada,18/02/2013,$30K - $50K,1,5,5926,6002
,,,,,,18/02/2013 Total,,1,5,5926,6002
,,,,,Canada Total,,,1,5,5926,6002
,,,,BC Total,,,,1,5,5926,6002
,,,Victoria Total,,,,,1,5,5926,6002
,,,Walla Walla,WA,USA,22/10/2012,$70K - $90K,1,3,8218,3654
,,,,,,22/10/2012 Total,,1,3,8218,3654
,,,,,USA Total,,,1,3,8218,3654
,,,,WA Total,,,,1,3,8218,3654
,,,Walla Walla Total,,,,,1,3,8218,3654
,,,Yakima,WA,USA,17/02/2012,$30K - $50K,1,3,2682,499
,,,,,,17/02/2012 Total,,1,3,2682,499
,,,,,,29/04/2012,$10K - $30K,1,5,4810,1516
,,,,,,29/04/2012 Total,,1,5,4810,1516
,,,,,USA Total,,,2,8,7492,2015
,,,,WA Total,,,,2,8,7492,2015
,,,Yakima Total,,,,,2,8,7492,2015
,,S Total,,,,,,99,413,470086,690567
,F Total,,,,,,,210,852,1038756,1543508
,M,M,Acapulco,Guerrero,Mexico,22/10/2013,$70K - $90K,1,4,8039,12658
,,,,,,22/10/2013 Total,,1,4,8039,12658
,,,,,Mexico Total,,,1,4,8039,12658
,,,,Guerrero Total,,,,1,4,8039,12658
,,,Acapulco Total,,,,,1,4,8039,12658
,,,Bellingham,WA,USA,02/11/2012,$30K - $50K,1,3,2759,3798
,,,,,,02/11/2012 Total,,1,3,2759,3798
,,,,,USA Total,,,1,3,2759,3798
,,,,WA Total,,,,1,3,2759,3798
,,,Bellingham Total,,,,,1,3,2759,3798
,,,Beverly Hills,CA,USA,15/04/2012,$30K - $50K,1,3,6400,1317
,,,,,,15/04/2012 Total,,1,3,6400,1317
,,,,,,25/11/2012,$10K - $30K,1,4,3508,4118
,,,,,,25/11/2012 Total,,1,4,3508,4118
,,,,,,23/12/2012,$10K - $30K,1,4,927,4563
,,,,,,23/12/2012 Total,,1,4,927,4563
,,,,,USA Total,,,3,11,10835,9998
,,,,CA Total,,,,3,11,10835,9998
,,,Beverly Hills Total,,,,,3,11,10835,9998
,,,Bremerton,WA,USA,27/03/2012,$30K - $50K,1,5,647,1028
,,,,,,27/03/2012 Total,,1,5,647,1028
,,,,,,22/08/2012,$30K - $50K,1,3,1341,2933
,,,,,,22/08/2012 Total,,1,3,1341,2933
,,,,,,06/12/2012,$30K - $50K,1,4,1676,4272
,,,,,,06/12/2012 Total,,1,4,1676,4272
,,,,,,01/02/2013,$130K - $150K,1,3,3889,5508
,,,,,,01/02/2013 Total,,1,3,3889,5508
,,,,,,02/05/2013,$10K - $30K,1,4,9881,7962
,,,,,,02/05/2013 Total,,1,4,9881,7962
,,,,,,29/09/2013,$30K - $50K,1,5,1533,12059
,,,,,,29/09/2013 Total,,1,5,1533,12059
,,,,,USA Total,,,6,24,18967,33762
,,,,WA Total,,,,6,24,18967,33762
,,,Bremerton Total,,,,,6,24,18967,33762
,,,Camacho,Zacatecas,Mexico,17/06/2013,$50K - $70K,1,4,1295,9221
,,,,,,17/06/2013 Total,,1,4,1295,9221
,,,,,,31/08/2013,$30K - $50K,1,5,5927,11245
,,,,,,31/08/2013 Total,,1,5,5927,11245
,,,,,,05/11/2013,$50K - $70K,1,4,7746,13071
,,,,,,05/11/2013 Total,,1,4,7746,13071
,,,,,Mexico Total,,,3,13,14968,33537
,,,,Zacatecas Total,,,,3,13,14968,33537
,,,Camacho Total,,,,,3,13,14968,33537
,,,Guadalajara,Jalisco,Mexico,23/08/2013,$70K - $90K,1,2,9939,11027
,,,,,,23/08/2013 Total,,1,2,9939,11027
,,,,,Mexico Total,,,1,2,9939,11027
,,,,Jalisco Total,,,,1,2,9939,11027
,,,Guadalajara Total,,,,,1,2,9939,11027
,,,Hidalgo,Zacatecas,Mexico,19/01/2013,$130K - $150K,1,5,1612,5176
,,,,,,19/01/2013 Total,,1,5,1612,5176
,,,,,,29/04/2013,$30K - $50K,1,5,6100,7888
,,,,,,29/04/2013 Total,,1,5,6100,7888
,,,,,,21/05/2013,$30K - $50K,1,5,7793,8487
,,,,,,21/05/2013 Total,,1,5,7793,8487
,,,,,,01/10/2013,$50K - $70K,1,4,4009,12105
,,,,,,01/10/2013 Total,,1,4,4009,12105
,,,,,,11/11/2013,$50K - $70K,1,4,4009,13244
,,,,,,11/11/2013 Total,,1,4,4009,13244
,,,,,,16/11/2013,$110K - $130K,1,3,10002,13371
,,,,,,16/11/2013 Total,,1,3,10002,13371
,,,,,Mexico Total,,,6,26,33525,60271
,,,,Zacatecas Total,,,,6,26,33525,60271
,,,Hidalgo Total,,,,,6,26,33525,60271
,,,Los Angeles,CA,USA,18/03/2013,$50K - $70K,1,5,2278,6759
,,,,,,18/03/2013 Total,,1,5,2278,6759
,,,,,,23/06/2013,$110K - $130K,1,6,3951,9382
,,,,,,23/06/2013 Total,,1,6,3951,9382
,,,,,,08/08/2013,$30K - $50K,1,6,1389,10618
,,,,,,08/08/2013 Total,,1,6,1389,10618
,,,,,,29/11/2013,$30K - $50K,1,5,7523,13701
,,,,,,29/11/2013 Total,,1,5,7523,13701
,,,,,USA Total,,,4,22,15141,40460
,,,,CA Total,,,,4,22,15141,40460
,,,Los Angeles Total,,,,,4,22,15141,40460
,,,Merida,Yucatan,Mexico,14/02/2013,$50K - $70K,1,2,4477,5890
,,,,,,14/02/2013 Total,,1,2,4477,5890
,,,,,,02/05/2013,$30K - $50K,1,2,9480,7974
,,,,,,02/05/2013 Total,,1,2,9480,7974
,,,,,,13/05/2013,$30K - $50K,1,6,9480,8257
,,,,,,13/05/2013 Total,,1,6,9480,8257
,,,,,,19/10/2013,$30K - $50K,1,3,486,12575
,,,,,,19/10/2013 Total,,1,3,486,12575
,,,,,Mexico Total,,,4,13,23923,34696
,,,,Yucatan Total,,,,4,13,23923,34696
,,,Merida Total,,,,,4,13,23923,34696
,,,Mexico City,DF,Mexico,20/04/2013,$10K - $30K,1,5,6080,7624
,,,,,,20/04/2013 Total,,1,5,6080,7624
,,,,,Mexico Total,,,1,5,6080,7624
,,,,DF Total,,,,1,5,6080,7624
,,,Mexico City Total,,,,,1,5,6080,7624
,,,Orizaba,Veracruz,Mexico,21/05/2013,$10K - $30K,1,5,2063,8484
,,,,,,21/05/2013 Total,,1,5,2063,8484
,,,,,,07/07/2013,$70K - $90K,1,4,5981,9759
,,,,,,07/07/2013 Total,,1,4,5981,9759
,,,,,,04/08/2013,$30K - $50K,1,3,6081,10536
,,,,,,04/08/2013 Total,,1,3,6081,10536
,,,,,Mexico Total,,,3,12,14125,28779
,,,,Veracruz Total,,,,3,12,14125,28779
,,,Orizaba Total,,,,,3,12,14125,28779
,,,Portland,OR,USA,24/06/2013,$150K +,1,6,1587,9415
,,,,,,24/06/2013 Total,,1,6,1587,9415
,,,,,,28/07/2013,$10K - $30K,1,5,7204,10352
,,,,,,28/07/2013 Total,,1,5,7204,10352
,,,,,USA Total,,,2,11,8791,19767
,,,,OR Total,,,,2,11,8791,19767
,,,Portland Total,,,,,2,11,8791,19767
,,,Salem,OR,USA,26/07/2012,$70K - $90K,1,4,10176,2603
,,,,,,26/07/2012 Total,,1,4,10176,2603
,,,,,,29/08/2012,$10K - $30K,1,3,9491,3007
,,,,,,29/08/2012 Total,,1,3,9491,3007
,,,,,,13/01/2013,$30K - $50K,1,5,3302,5029
,,,,,,13/01/2013 Total,,1,5,3302,5029
,,,,,,14/01/2013,$50K - $70K,1,7,9929,5051
,,,,,,14/01/2013 Total,,1,7,9929,5051
,,,,,,23/04/2013,$10K - $30K,1,2,6698,7715
,,,,,,23/04/2013 Total,,1,2,6698,7715
,,,,,,24/10/2013,$10K - $30K,1,4,7373,12717
,,,,,,24/10/2013 Total,,1,4,7373,12717
,,,,,,28/10/2013,$70K - $90K,1,2,9554,12845
,,,,,,28/10/2013 Total,,1,2,9554,12845
,,,,,,01/11/2013,$90K - $110K,1,4,8901,12954
,,,,,,01/11/2013 Total,,1,4,8901,12954
,,,,,,09/12/2013,$30K - $50K,1,4,3728,13865
,,,,,,09/12/2013 Total,,1,4,3728,13865
,,,,,USA Total,,,9,35,69152,75786
,,,,OR Total,,,,9,35,69152,75786
,,,Salem Total,,,,,9,35,69152,75786
,,,San Andres,DF,Mexico,12/05/2013,$110K - $130K,1,3,6762,8239
,,,,,,12/05/2013 Total,,1,3,6762,8239
,,,,,,14/05/2013,$70K - $90K,1,3,9141,8285
,,,,,,14/05/2013 Total,,1,3,9141,8285
,,,,,,09/08/2013,$50K - $70K,1,3,2115,10657
,,,,,,09/08/2013 Total,,1,3,2115,10657
,,,,,,15/10/2013,$90K - $110K,1,3,2919,12477
,,,,,,15/10/2013 Total,,1,3,2919,12477
,,,,,,13/12/2013,$50K - $70K,1,4,7409,13939
,,,,,,13/12/2013 Total,,1,4,7409,13939
,,,,,Mexico Total,,,5,16,28346,53597
,,,,DF Total,,,,5,16,28346,53597
,,,San Andres Total,,,,,5,16,28346,53597
,,,San Diego,CA,USA,08/01/2012,$10K - $30K,1,4,6460,74
,,,,,,08/01/2012 Total,,1,4,6460,74
,,,,,,16/05/2013,$110K - $130K,1,3,4176,8342
,,,,,,16/05/2013 Total,,1,3,4176,8342
,,,,,,04/07/2013,$150K +,1,5,1209,9696
,,,,,,04/07/2013 Total,,1,5,1209,9696
,,,,,,07/11/2013,$50K - $70K,1,4,3111,13118
,,,,,,07/11/2013 Total,,1,4,3111,13118
,,,,,,08/11/2013,$30K - $50K,1,6,1157,13160
,,,,,,08/11/2013 Total,,1,6,1157,13160
,,,,,USA Total,,,5,22,16113,44390
,,,,CA Total,,,,5,22,16113,44390
,,,San Diego Total,,,,,5,22,16113,44390
,,,San Francisco,CA,USA,26/07/2012,$30K - $50K,1,1,492,2598
,,,,,,26/07/2012 Total,,1,1,492,2598
,,,,,USA Total,,,1,1,492,2598
,,,,CA Total,,,,1,1,492,2598
,,,San Francisco Total,,,,,1,1,492,2598
,,,Seattle,WA,USA,19/02/2012,$30K - $50K,1,3,6850,526
,,,,,,19/02/2012 Total,,1,3,6850,526
,,,,,,03/07/2012,$110K - $130K,1,3,4699,2318
,,,,,,03/07/2012 Total,,1,3,4699,2318
,,,,,,06/10/2012,$50K - $70K,1,5,4205,3479
,,,,,,06/10/2012 Total,,1,5,4205,3479
,,,,,,25/10/2012,$50K - $70K,1,5,9691,3701
,,,,,,25/10/2012 Total,,1,5,9691,3701
,,,,,,03/03/2013,$50K - $70K,1,4,4642,6374
,,,,,,03/03/2013 Total,,1,4,4642,6374
,,,,,,08/03/2013,$50K - $70K,1,5,3541,6491
,,,,,,08/03/2013 Total,,1,5,3541,6491
,,,,,,22/09/2013,$30K - $50K,1,3,8137,11843
,,,,,,22/09/2013 Total,,1,3,8137,11843
,,,,,,10/11/2013,$30K - $50K,1,2,1589,13219
,,,,,,10/11/2013 Total,,1,2,1589,13219
,,,,,USA Total,,,8,30,43354,47951
,,,,WA Total,,,,8,30,43354,47951
,,,Seattle Total,,,,,8,30,43354,47951
,,,Spokane,WA,USA,11/03/2012,$10K - $30K,1,3,6348,795
,,,,,,11/03/2012 Total,,1,3,6348,795
,,,,,,10/09/2012,$30K - $50K,1,3,4021,3155
,,,,,,10/09/2012 Total,,1,3,4021,3155
,,,,,,06/01/2013,$50K - $70K,1,5,2553,4848
,,,,,,06/01/2013 Total,,1,5,2553,4848
,,,,,,02/02/2013,$70K - $90K,1,5,2570,5535
,,,,,,02/02/2013 Total,,1,5,2570,5535
,,,,,,14/03/2013,$30K - $50K,1,3,4021,6648
,,,,,,14/03/2013 Total,,1,3,4021,6648
,,,,,,19/03/2013,$30K - $50K,1,4,5374,6779
,,,,,,19/03/2013 Total,,1,4,5374,6779
,,,,,,03/04/2013,$10K - $30K,1,6,6348,7188
,,,,,,03/04/2013 Total,,1,6,6348,7188
,,,,,,25/04/2013,$30K - $50K,1,7,7862,7772
,,,,,,25/04/2013 Total,,1,7,7862,7772
,,,,,,04/10/2013,$110K - $130K,1,6,6712,12182
,,,,,,04/10/2013 Total,,1,6,6712,12182
,,,,,USA Total,,,9,42,45809,54902
,,,,WA Total,,,,9,42,45809,54902
,,,Spokane Total,,,,,9,42,45809,54902
,,,Tacoma,WA,USA,12/05/2012,$110K - $130K,1,4,5590,1686
,,,,,,12/05/2012 Total,,1,4,5590,1686
,,,,,,21/06/2012,$30K - $50K,1,5,2742,2169
,,,,,,21/06/2012 Total,,1,5,2742,2169
,,,,,,16/07/2012,$10K - $30K,1,5,9937,2464
,,,,,,16/07/2012 Total,,1,5,9937,2464
,,,,,,04/11/2012,$10K - $30K,1,3,9309,3825
,,,,,,04/11/2012 Total,,1,3,9309,3825
,,,,,,15/11/2012,$10K - $30K,1,5,4552,3969
,,,,,,15/11/2012 Total,,1,5,4552,3969
,,,,,,19/11/2012,$10K - $30K,1,3,4552,4024
,,,,,,19/11/2012 Total,,1,3,4552,4024
,,,,,,30/11/2012,$110K - $130K,1,5,5590,4176
,,,,,,30/11/2012 Total,,1,5,5590,4176
,,,,,,16/01/2013,$30K - $50K,1,4,4204,5101
,,,,,,16/01/2013 Total,,1,4,4204,5101
,,,,,,03/03/2013,$110K - $130K,1,4,5303,6384
,,,,,,03/03/2013 Total,,1,4,5303,6384
,,,,,,09/03/2013,$10K - $30K,1,3,9309,6520
,,,,,,09/03/2013 Total,,1,3,9309,6520
,,,,,,27/03/2013,$30K - $50K,1,3,1744,6992
,,,,,,27/03/2013 Total,,1,3,1744,6992
,,,,,,10/07/2013,$30K - $50K,1,5,9837,9860
,,,,,,10/07/2013 Total,,1,5,9837,9860
,,,,,,16/09/2013,$70K - $90K,1,5,2594,11656
,,,,,,16/09/2013 Total,,1,5,2594,11656
,,,,,USA Total,,,13,54,75263,68826
,,,,WA Total,,,,13,54,75263,68826
,,,Tacoma Total,,,,,13,54,75263,68826
,,,Vancouver,BC,Canada,24/06/2013,$150K +,1,4,8573,9421
,,,,,,24/06/2013 Total,,1,4,8573,9421
,,,,,Canada Total,,,1,4,8573,9421
,,,,BC Total,,,,1,4,8573,9421
,,,Vancouver Total,,,,,1,4,8573,9421
,,,Victoria,BC,Canada,22/02/2013,$70K - $90K,1,4,8756,6121
,,,,,,22/02/2013 Total,,1,4,8756,6121
,,,,,,17/08/2013,$30K - $50K,1,2,2162,10892
,,,,,,17/08/2013 Total,,1,2,2162,10892
,,,,,Canada Total,,,2,6,10918,17013
,,,,BC Total,,,,2,6,10918,17013
,,,Victoria Total,,,,,2,6,10918,17013
,,,Walla Walla,WA,USA,09/10/2013,$70K - $90K,1,4,1140,12305
,,,,,,09/10/2013 Total,,1,4,1140,12305
,,,,,USA Total,,,1,4,1140,12305
,,,,WA Total,,,,1,4,1140,12305
,,,Walla Walla Total,,,,,1,4,1140,12305
,,,Yakima,WA,USA,30/01/2012,$10K - $30K,1,6,4070,270
,,,,,,30/01/2012 Total,,1,6,4070,270
,,,,,,05/04/2012,$110K - $130K,1,4,5002,1165
,,,,,,05/04/2012 Total,,1,4,5002,1165
,,,,,,10/04/2012,$70K - $90K,1,4,9134,1242
,,,,,,10/04/2012 Total,,1,4,9134,1242
,,,,,,29/09/2013,$110K - $130K,1,5,3725,12042
,,,,,,29/09/2013 Total,,1,5,3725,12042
,,,,,USA Total,,,4,19,21931,14719
,,,,WA Total,,,,4,19,21931,14719
,,,Yakima Total,,,,,4,19,21931,14719
,,M Total,,,,,,93,379,488183,697885
,,S,Acapulco,Guerrero,Mexico,10/04/2013,$10K - $30K,1,4,843,7365
,,,,,,10/04/2013 Total,,1,4,843,7365
,,,,,,24/04/2013,$10K - $30K,1,4,71,7761
,,,,,,24/04/2013 Total,,1,4,71,7761
,,,,,,28/04/2013,$50K - $70K,1,4,3138,7858
,,,,,,28/04/2013 Total,,1,4,3138,7858
,,,,,,29/05/2013,$50K - $70K,1,4,9984,8720
,,,,,,29/05/2013 Total,,1,4,9984,8720
,,,,,Mexico Total,,,4,16,14036,31704
,,,,Guerrero Total,,,,4,16,14036,31704
,,,Acapulco Total,,,,,4,16,14036,31704
,,,Bellingham,WA,USA,18/03/2012,$50K - $70K,1,1,7456,895
,,,,,,18/03/2012 Total,,1,1,7456,895
,,,,,USA Total,,,1,1,7456,895
,,,,WA Total,,,,1,1,7456,895
,,,Bellingham Total,,,,,1,1,7456,895
,,,Beverly Hills,CA,USA,12/01/2013,$130K - $150K,1,4,897,4995
,,,,,,12/01/2013 Total,,1,4,897,4995
,,,,,,28/07/2013,$30K - $50K,1,3,8753,10355
,,,,,,28/07/2013 Total,,1,3,8753,10355
,,,,,,24/11/2013,$30K - $50K,1,4,734,13588
,,,,,,24/11/2013 Total,,1,4,734,13588
,,,,,USA Total,,,3,11,10384,28938
,,,,CA Total,,,,3,11,10384,28938
,,,Beverly Hills Total,,,,,3,11,10384,28938
,,,Bremerton,WA,USA,31/01/2012,$10K - $30K,1,4,1005,286
,,,,,,31/01/2012 Total,,1,4,1005,286
,,,,,,09/03/2012,$30K - $50K,1,3,5158,758
,,,,,,09/03/2012 Total,,1,3,5158,758
,,,,,,14/04/2012,$10K - $30K,1,4,8003,1305
,,,,,,14/04/2012 Total,,1,4,8003,1305
,,,,,,04/09/2012,$130K - $150K,1,2,7384,3075
,,,,,,04/09/2012 Total,,1,2,7384,3075
,,,,,,02/10/2012,$10K - $30K,1,3,2850,3402
,,,,,,02/10/2012 Total,,1,3,2850,3402
,,,,,,28/10/2012,$30K - $50K,1,3,1979,3726
,,,,,,28/10/2012 Total,,1,3,1979,3726
,,,,,,03/06/2013,$70K - $90K,1,6,1124,8841
,,,,,,03/06/2013 Total,,1,6,1124,8841
,,,,,,17/08/2013,$50K - $70K,1,2,3941,10889
,,,,,,17/08/2013 Total,,1,2,3941,10889
,,,,,,15/09/2013,$10K - $30K,1,5,4096,11633
,,,,,,15/09/2013 Total,,1,5,4096,11633
,,,,,,10/11/2013,$10K - $30K,1,5,7153,13218
,,,,,,10/11/2013 Total,,1,5,7153,13218
,,,,,USA Total,,,10,37,42693,57133
,,,,WA Total,,,,10,37,42693,57133
,,,Bremerton Total,,,,,10,37,42693,57133
,,,Camacho,Zacatecas,Mexico,21/07/2013,$30K - $50K,2,9,13984,20368
,,,,,,21/07/2013 Total,,2,9,13984,20368
,,,,,,23/09/2013,$70K - $90K,1,5,3366,11883
,,,,,,23/09/2013 Total,,1,5,3366,11883
,,,,,Mexico Total,,,3,14,17350,32251
,,,,Zacatecas Total,,,,3,14,17350,32251
,,,Camacho Total,,,,,3,14,17350,32251
,,,Guadalajara,Jalisco,Mexico,19/01/2013,$10K - $30K,1,1,3721,5159
,,,,,,19/01/2013 Total,,1,1,3721,5159
,,,,,,02/04/2013,$10K - $30K,1,1,3247,7152
,,,,,,02/04/2013 Total,,1,1,3247,7152
,,,,,,08/06/2013,$10K - $30K,1,3,5755,9006
,,,,,,08/06/2013 Total,,1,3,5755,9006
,,,,,Mexico Total,,,3,5,12723,21317
,,,,Jalisco Total,,,,3,5,12723,21317
,,,Guadalajara Total,,,,,3,5,12723,21317
,,,Hidalgo,Zacatecas,Mexico,17/02/2013,$30K - $50K,1,4,4419,5961
,,,,,,17/02/2013 Total,,1,4,4419,5961
,,,,,,13/10/2013,$30K - $50K,1,3,2528,12433
,,,,,,13/10/2013 Total,,1,3,2528,12433
,,,,,,28/10/2013,$30K - $50K,1,4,1770,12836
,,,,,,28/10/2013 Total,,1,4,1770,12836
,,,,,Mexico Total,,,3,11,8717,31230
,,,,Zacatecas Total,,,,3,11,8717,31230
,,,Hidalgo Total,,,,,3,11,8717,31230
,,,Los Angeles,CA,USA,20/06/2012,$30K - $50K,1,4,9075,2149
,,,,,,20/06/2012 Total,,1,4,9075,2149
,,,,,,13/11/2012,$30K - $50K,1,2,3663,3928
,,,,,,13/11/2012 Total,,1,2,3663,3928
,,,,,,25/12/2012,$50K - $70K,1,4,9998,4590
,,,,,,25/12/2012 Total,,1,4,9998,4590
,,,,,,07/02/2013,$30K - $50K,1,7,4337,5686
,,,,,,07/02/2013 Total,,1,7,4337,5686
,,,,,,19/03/2013,$70K - $90K,1,3,7127,6805
,,,,,,19/03/2013 Total,,1,3,7127,6805
,,,,,,21/09/2013,$10K - $30K,1,7,3039,11809
,,,,,,21/09/2013 Total,,1,7,3039,11809
,,,,,,20/10/2013,$30K - $50K,1,2,5589,12592
,,,,,,20/10/2013 Total,,1,2,5589,12592
,,,,,,02/12/2013,$50K - $70K,1,4,6289,13759
,,,,,,02/12/2013 Total,,1,4,6289,13759
,,,,,USA Total,,,8,33,49117,61318
,,,,CA Total,,,,8,33,49117,61318
,,,Los Angeles Total,,,,,8,33,49117,61318
,,,Merida,Yucatan,Mexico,07/03/2013,$30K - $50K,1,4,6034,6466
,,,,,,07/03/2013 Total,,1,4,6034,6466
,,,,,,03/06/2013,$30K - $50K,1,3,6034,8860
,,,,,,03/06/2013 Total,,1,3,6034,8860
,,,,,,22/06/2013,$10K - $30K,1,6,8204,9373
,,,,,,22/06/2013 Total,,1,6,8204,9373
,,,,,,04/07/2013,$70K - $90K,1,3,8870,9691
,,,,,,04/07/2013 Total,,1,3,8870,9691
,,,,,,15/09/2013,$150K +,1,5,3125,11654
,,,,,,15/09/2013 Total,,1,5,3125,11654
,,,,,,30/10/2013,$10K - $30K,1,3,6464,12896
,,,,,,30/10/2013 Total,,1,3,6464,12896
,,,,,Mexico Total,,,6,24,38731,58940
,,,,Yucatan Total,,,,6,24,38731,58940
,,,Merida Total,,,,,6,24,38731,58940
,,,Mexico City,DF,Mexico,06/04/2013,$30K - $50K,1,5,3961,7267
,,,,,,06/04/2013 Total,,1,5,3961,7267
,,,,,,12/06/2013,$130K - $150K,1,3,7598,9094
,,,,,,12/06/2013 Total,,1,3,7598,9094
,,,,,Mexico Total,,,2,8,11559,16361
,,,,DF Total,,,,2,8,11559,16361
,,,Mexico City Total,,,,,2,8,11559,16361
,,,Orizaba,Veracruz,Mexico,04/03/2013,$30K - $50K,1,5,8203,6398
,,,,,,04/03/2013 Total,,1,5,8203,6398
,,,,,Mexico Total,,,1,5,8203,6398
,,,,Veracruz Total,,,,1,5,8203,6398
,,,Orizaba Total,,,,,1,5,8203,6398
,,,Portland,OR,USA,26/05/2012,$50K - $70K,1,4,9419,1866
,,,,,,26/05/2012 Total,,1,4,9419,1866
,,,,,,03/06/2012,$10K - $30K,1,4,5875,1973
,,,,,,03/06/2012 Total,,1,4,5875,1973
,,,,,,02/02/2013,$50K - $70K,1,4,5791,5554
,,,,,,02/02/2013 Total,,1,4,5791,5554
,,,,,,24/02/2013,$50K - $70K,1,4,376,6181
,,,,,,24/02/2013 Total,,1,4,376,6181
,,,,,,27/06/2013,$10K - $30K,1,3,7362,9497
,,,,,,27/06/2013 Total,,1,3,7362,9497
,,,,,,26/08/2013,$70K - $90K,1,2,1547,11101
,,,,,,26/08/2013 Total,,1,2,1547,11101
,,,,,,19/10/2013,$10K - $30K,1,6,3435,12560
,,,,,,19/10/2013 Total,,1,6,3435,12560
,,,,,,05/12/2013,$30K - $50K,1,5,250,13830
,,,,,,05/12/2013 Total,,1,5,250,13830
,,,,,USA Total,,,8,32,34055,62562
,,,,OR Total,,,,8,32,34055,62562
,,,Portland Total,,,,,8,32,34055,62562
,,,Salem,OR,USA,09/02/2012,$50K - $70K,1,2,1196,407
,,,,,,09/02/2012 Total,,1,2,1196,407
,,,,,,10/03/2012,$10K - $30K,1,6,7733,780
,,,,,,10/03/2012 Total,,1,6,7733,780
,,,,,,23/03/2012,$30K - $50K,1,3,8410,974
,,,,,,23/03/2012 Total,,1,3,8410,974
,,,,,,06/05/2012,$30K - $50K,1,3,5329,1614
,,,,,,06/05/2012 Total,,1,3,5329,1614
,,,,,,16/05/2012,$70K - $90K,1,4,8921,1741
,,,,,,16/05/2012 Total,,1,4,8921,1741
,,,,,,16/09/2012,$50K - $70K,1,3,5782,3225
,,,,,,16/09/2012 Total,,1,3,5782,3225
,,,,,,05/10/2012,$30K - $50K,1,5,7203,3454
,,,,,,05/10/2012 Total,,1,5,7203,3454
,,,,,,28/11/2012,$30K - $50K,1,5,274,4150
,,,,,,28/11/2012 Total,,1,5,274,4150
,,,,,,28/01/2013,$110K - $130K,1,5,5610,5393
,,,,,,28/01/2013 Total,,1,5,5610,5393
,,,,,,20/02/2013,$30K - $50K,1,5,7496,6048
,,,,,,20/02/2013 Total,,1,5,7496,6048
,,,,,,30/05/2013,$30K - $50K,1,3,4556,8735
,,,,,,30/05/2013 Total,,1,3,4556,8735
,,,,,,22/10/2013,$30K - $50K,1,4,274,12671
,,,,,,22/10/2013 Total,,1,4,274,12671
,,,,,,25/12/2013,$30K - $50K,1,6,8843,14037
,,,,,,25/12/2013 Total,,1,6,8843,14037
,,,,,USA Total,,,13,54,71627,63229
,,,,OR Total,,,,13,54,71627,63229
,,,Salem Total,,,,,13,54,71627,63229
