Product Category,Gender,Marital Status,City,State or Province,Country,Purchase Date,Annual Income,Count of State or Province,Sum of Units Sold,Sum of Customer ID,Sum of Transactionno
,,,San Andres,DF,Mexico,25/01/2013,$50K - $70K,1,5,9189,5329
,,,,,,25/01/2013 Total,,1,5,9189,5329
,,,,,,28/03/2013,$30K - $50K,1,5,6608,7031
,,,,,,28/03/2013 Total,,1,5,6608,7031
,,,,,,04/04/2013,$30K - $50K,1,4,875,7217
,,,,,,04/04/2013 Total,,1,4,875,7217
,,,,,Mexico Total,,,3,14,16672,19577
,,,,DF Total,,,,3,14,16672,19577
,,,San Andres Total,,,,,3,14,16672,19577
,,,San Diego,CA,USA,17/05/2012,$50K - $70K,1,4,8451,1749
,,,,,,17/05/2012 Total,,1,4,8451,1749
,,,,,,03/10/2012,$70K - $90K,1,5,4041,3425
,,,,,,03/10/2012 Total,,1,5,4041,3425
,,,,,,08/10/2012,$30K - $50K,1,2,2460,3506
,,,,,,08/10/2012 Total,,1,2,2460,3506
,,,,,,22/04/2013,$50K - $70K,1,5,3561,7680
,,,,,,22/04/2013 Total,,1,5,3561,7680
,,,,,,23/04/2013,$50K - $70K,1,3,6572,7707
,,,,,,23/04/2013 Total,,1,3,6572,7707
,,,,,,13/10/2013,$10K - $30K,1,5,1397,12420
,,,,,,13/10/2013 Total,,1,5,1397,12420
,,,,,USA Total,,,6,24,26482,36487
,,,,CA Total,,,,6,24,26482,36487
,,,San Diego Total,,,,,6,24,26482,36487
,,,San Francisco,CA,USA,20/08/2012,$10K - $30K,1,1,6504,2909
,,,,,,20/08/2012 Total,,1,1,6504,2909
,,,,,USA Total,,,1,1,6504,2909
,,,,CA Total,,,,1,1,6504,2909
,,,San Francisco Total,,,,,1,1,6504,2909
,,,Seattle,WA,USA,05/03/2012,$30K - $50K,1,4,9417,701
,,,,,,05/03/2012 Total,,1,4,9417,701
,,,,,,21/05/2012,$30K - $50K,1,3,7830,1809
,,,,,,21/05/2012 Total,,1,3,7830,1809
,,,,,,30/05/2013,$10K - $30K,1,3,3048,8741
,,,,,,30/05/2013 Total,,1,3,3048,8741
,,,,,,29/09/2013,$30K - $50K,1,4,6505,12045
,,,,,,29/09/2013 Total,,1,4,6505,12045
,,,,,USA Total,,,4,14,26800,23296
,,,,WA Total,,,,4,14,26800,23296
,,,Seattle Total,,,,,4,14,26800,23296
,,,Spokane,WA,USA,15/05/2012,$10K - $30K,1,5,2019,1727
,,,,,,15/05/2012 Total,,1,5,2019,1727
,,,,,,04/08/2012,$30K - $50K,1,5,4397,2705
,,,,,,04/08/2012 Total,,1,5,4397,2705
,,,,,,01/04/2013,$30K - $50K,1,3,5542,7142
,,,,,,01/04/2013 Total,,1,3,5542,7142
,,,,,,10/05/2013,$30K - $50K,1,4,5542,8209
,,,,,,10/05/2013 Total,,1,4,5542,8209
,,,,,,13/05/2013,$10K - $30K,1,6,7502,8279
,,,,,,13/05/2013 Total,,1,6,7502,8279
,,,,,USA Total,,,5,23,25002,28062
,,,,WA Total,,,,5,23,25002,28062
,,,Spokane Total,,,,,5,23,25002,28062
,,,Tacoma,WA,USA,05/05/2012,$10K - $30K,1,3,5038,1598
,,,,,,05/05/2012 Total,,1,3,5038,1598
,,,,,,18/06/2012,$50K - $70K,1,5,4118,2132
,,,,,,18/06/2012 Total,,1,5,4118,2132
,,,,,,15/10/2012,$10K - $30K,1,2,2143,3588
,,,,,,15/10/2012 Total,,1,2,2143,3588
,,,,,,11/03/2013,$30K - $50K,1,3,4846,6584
,,,,,,11/03/2013 Total,,1,3,4846,6584
,,,,,,02/08/2013,$10K - $30K,1,5,5877,10491
,,,,,,02/08/2013 Total,,1,5,5877,10491
,,,,,,26/11/2013,$30K - $50K,1,3,4670,13618
,,,,,,26/11/2013 Total,,1,3,4670,13618
,,,,,USA Total,,,6,21,26692,38011
,,,,WA Total,,,,6,21,26692,38011
,,,Tacoma Total,,,,,6,21,26692,38011
,,,Vancouver,BC,Canada,27/02/2013,$30K - $50K,1,3,3881,6269
,,,,,,27/02/2013 Total,,1,3,3881,6269
,,,,,,19/03/2013,$30K - $50K,1,2,2492,6784
,,,,,,19/03/2013 Total,,1,2,2492,6784
,,,,,,20/04/2013,$10K - $30K,1,4,7848,7648
,,,,,,20/04/2013 Total,,1,4,7848,7648
,,,,,,05/07/2013,$10K - $30K,1,3,933,9714
,,,,,,05/07/2013 Total,,1,3,933,9714
,,,,,,27/12/2013,$70K - $90K,1,5,6782,14047
,,,,,,27/12/2013 Total,,1,5,6782,14047
,,,,,Canada Total,,,5,17,21936,44462
,,,,BC Total,,,,5,17,21936,44462
,,,Vancouver Total,,,,,5,17,21936,44462
,,,Walla Walla,WA,USA,08/11/2012,$130K - $150K,1,2,1696,3889
,,,,,,08/11/2012 Total,,1,2,1696,3889
,,,,,,28/09/2013,$130K - $150K,1,3,1696,12026
,,,,,,28/09/2013 Total,,1,3,1696,12026
,,,,,USA Total,,,2,5,3392,15915
,,,,WA Total,,,,2,5,3392,15915
,,,Walla Walla Total,,,,,2,5,3392,15915
,,,Yakima,WA,USA,09/03/2012,$30K - $50K,1,5,5353,767
,,,,,,09/03/2012 Total,,1,5,5353,767
,,,,,,27/11/2012,$30K - $50K,1,4,9176,4138
,,,,,,27/11/2012 Total,,1,4,9176,4138
,,,,,,24/12/2012,$30K - $50K,1,5,4610,4577
,,,,,,24/12/2012 Total,,1,5,4610,4577
,,,,,,15/05/2013,$70K - $90K,1,5,9498,8322
,,,,,,15/05/2013 Total,,1,5,9498,8322
,,,,,USA Total,,,4,19,28637,17804
,,,,WA Total,,,,4,19,28637,17804
,,,Yakima Total,,,,,4,19,28637,17804
,,S Total,,,,,,101,389,508768,698799
,M Total,,,,,,,194,768,996951,1396684
Canned Soup Total,,,,,,,,404,1620,2035707,2940192
Canned Tuna,F,M,Beverly Hills,CA,USA,09/10/2013,$110K - $130K,1,4,7808,12314
,,,,,,09/10/2013 Total,,1,4,7808,12314
,,,,,USA Total,,,1,4,7808,12314
,,,,CA Total,,,,1,4,7808,12314
,,,Beverly Hills Total,,,,,1,4,7808,12314
,,,Camacho,Zacatecas,Mexico,09/08/2013,$50K - $70K,1,3,8497,10659
,,,,,,09/08/2013 Total,,1,3,8497,10659
,,,,,Mexico Total,,,1,3,8497,10659
,,,,Zacatecas Total,,,,1,3,8497,10659
,,,Camacho Total,,,,,1,3,8497,10659
,,,Hidalgo,Zacatecas,Mexico,29/03/2013,$70K - $90K,1,2,7977,7034
,,,,,,29/03/2013 Total,,1,2,7977,7034
,,,,,,20/07/2013,$50K - $70K,1,2,4780,10162
,,,,,,20/07/2013 Total,,1,2,4780,10162
,,,,,,25/10/2013,$30K - $50K,1,5,1871,12749
,,,,,,25/10/2013 Total,,1,5,1871,12749
,,,,,Mexico Total,,,3,9,14628,29945
,,,,Zacatecas Total,,,,3,9,14628,29945
,,,Hidalgo Total,,,,,3,9,14628,29945
,,,Los Angeles,CA,USA,11/06/2013,$30K - $50K,1,5,2779,9057
,,,,,,11/06/2013 Total,,1,5,2779,9057
,,,,,,10/09/2013,$50K - $70K,1,3,364,11498
,,,,,,10/09/2013 Total,,1,3,364,11498
,,,,,USA Total,,,2,8,3143,20555
,,,,CA Total,,,,2,8,3143,20555
,,,Los Angeles Total,,,,,2,8,3143,20555
,,,Merida,Yucatan,Mexico,19/02/2013,$130K - $150K,1,6,8775,6017
,,,,,,19/02/2013 Total,,1,6,8775,6017
,,,,,,05/04/2013,$30K - $50K,1,5,2500,7230
,,,,,,05/04/2013 Total,,1,5,2500,7230
,,,,,,01/07/2013,$10K - $30K,1,4,4761,9608
,,,,,,01/07/2013 Total,,1,4,4761,9608
,,,,,Mexico Total,,,3,15,16036,22855
,,,,Yucatan Total,,,,3,15,16036,22855
,,,Merida Total,,,,,3,15,16036,22855
,,,Mexico City,DF,Mexico,21/05/2013,$30K - $50K,1,3,1017,8495
,,,,,,21/05/2013 Total,,1,3,1017,8495
,,,,,Mexico Total,,,1,3,1017,8495
,,,,DF Total,,,,1,3,1017,8495
,,,Mexico City Total,,,,,1,3,1017,8495
,,,Portland,OR,USA,02/04/2012,$30K - $50K,1,5,7930,1126
,,,,,,02/04/2012 Total,,1,5,7930,1126
,,,,,USA Total,,,1,5,7930,1126
,,,,OR Total,,,,1,5,7930,1126
,,,Portland Total,,,,,1,5,7930,1126
,,,Salem,OR,USA,16/01/2012,$90K - $110K,1,5,484,130
,,,,,,16/01/2012 Total,,1,5,484,130
,,,,,,16/02/2012,$130K - $150K,1,3,6997,481
,,,,,,16/02/2012 Total,,1,3,6997,481
,,,,,,05/05/2012,$30K - $50K,1,2,3388,1592
,,,,,,05/05/2012 Total,,1,2,3388,1592
,,,,,,25/03/2013,$90K - $110K,1,5,644,6939
,,,,,,25/03/2013 Total,,1,5,644,6939
,,,,,USA Total,,,4,15,11513,9142
,,,,OR Total,,,,4,15,11513,9142
,,,Salem Total,,,,,4,15,11513,9142
,,,San Diego,CA,USA,17/05/2012,$50K - $70K,1,3,4288,1754
,,,,,,17/05/2012 Total,,1,3,4288,1754
,,,,,,11/10/2012,$10K - $30K,1,4,198,3542
,,,,,,11/10/2012 Total,,1,4,198,3542
,,,,,USA Total,,,2,7,4486,5296
,,,,CA Total,,,,2,7,4486,5296
,,,San Diego Total,,,,,2,7,4486,5296
,,,Seattle,WA,USA,01/07/2013,$50K - $70K,1,4,5745,9595
,,,,,,01/07/2013 Total,,1,4,5745,9595
,,,,,USA Total,,,1,4,5745,9595
,,,,WA Total,,,,1,4,5745,9595
,,,Seattle Total,,,,,1,4,5745,9595
,,,Spokane,WA,USA,23/01/2012,$30K - $50K,1,3,9263,205
,,,,,,23/01/2012 Total,,1,3,9263,205
,,,,,,11/06/2012,$50K - $70K,1,5,9797,2056
,,,,,,11/06/2012 Total,,1,5,9797,2056
,,,,,USA Total,,,2,8,19060,2261
,,,,WA Total,,,,2,8,19060,2261
,,,Spokane Total,,,,,2,8,19060,2261
,,,Tacoma,WA,USA,12/09/2012,$50K - $70K,1,5,7607,3178
,,,,,,12/09/2012 Total,,1,5,7607,3178
,,,,,,17/11/2013,$50K - $70K,1,5,8717,13423
,,,,,,17/11/2013 Total,,1,5,8717,13423
,,,,,USA Total,,,2,10,16324,16601
,,,,WA Total,,,,2,10,16324,16601
,,,Tacoma Total,,,,,2,10,16324,16601
,,,Vancouver,BC,Canada,25/01/2013,$70K - $90K,1,5,5659,5321
,,,,,,25/01/2013 Total,,1,5,5659,5321
,,,,,Canada Total,,,1,5,5659,5321
,,,,BC Total,,,,1,5,5659,5321
,,,Vancouver Total,,,,,1,5,5659,5321
,,,Victoria,BC,Canada,25/02/2013,$10K - $30K,1,4,3278,6216
,,,,,,25/02/2013 Total,,1,4,3278,6216
,,,,,Canada Total,,,1,4,3278,6216
,,,,BC Total,,,,1,4,3278,6216
,,,Victoria Total,,,,,1,4,3278,6216
,,M Total,,,,,,25,100,125124,160381
,,S,Acapulco,Guerrero,Mexico,13/12/2013,$10K - $30K,1,3,8121,13931
,,,,,,13/12/2013 Total,,1,3,8121,13931
,,,,,Mexico Total,,,1,3,8121,13931
,,,,Guerrero Total,,,,1,3,8121,13931
,,,Acapulco Total,,,,,1,3,8121,13931
,,,Beverly Hills,CA,USA,05/10/2012,$10K - $30K,1,3,8684,3456
,,,,,,05/10/2012 Total,,1,3,8684,3456
,,,,,,09/04/2013,$30K - $50K,1,6,5401,7352
,,,,,,09/04/2013 Total,,1,6,5401,7352
,,,,,USA Total,,,2,9,14085,10808
,,,,CA Total,,,,2,9,14085,10808
,,,Beverly Hills Total,,,,,2,9,14085,10808
,,,Bremerton,WA,USA,17/04/2013,$30K - $50K,1,5,1070,7542
,,,,,,17/04/2013 Total,,1,5,1070,7542
,,,,,,15/05/2013,$50K - $70K,1,4,6367,8324
,,,,,,15/05/2013 Total,,1,4,6367,8324
,,,,,USA Total,,,2,9,7437,15866
,,,,WA Total,,,,2,9,7437,15866
,,,Bremerton Total,,,,,2,9,7437,15866
,,,Hidalgo,Zacatecas,Mexico,28/01/2013,$50K - $70K,1,4,7633,5394
,,,,,,28/01/2013 Total,,1,4,7633,5394
,,,,,,13/04/2013,$30K - $50K,1,5,272,7442
,,,,,,13/04/2013 Total,,1,5,272,7442
,,,,,,23/08/2013,$50K - $70K,1,4,1972,11037
,,,,,,23/08/2013 Total,,1,4,1972,11037
,,,,,Mexico Total,,,3,13,9877,23873
,,,,Zacatecas Total,,,,3,13,9877,23873
,,,Hidalgo Total,,,,,3,13,9877,23873
,,,Los Angeles,CA,USA,07/05/2012,$10K - $30K,1,4,9275,1626
,,,,,,07/05/2012 Total,,1,4,9275,1626
,,,,,,11/09/2013,$70K - $90K,1,5,3485,11523
,,,,,,11/09/2013 Total,,1,5,3485,11523
,,,,,USA Total,,,2,9,12760,13149
,,,,CA Total,,,,2,9,12760,13149
,,,Los Angeles Total,,,,,2,9,12760,13149
,,,Merida,Yucatan,Mexico,11/02/2013,$30K - $50K,1,6,5512,5798
,,,,,,11/02/2013 Total,,1,6,5512,5798
,,,,,,04/03/2013,$70K - $90K,1,5,5881,6392
,,,,,,04/03/2013 Total,,1,5,5881,6392
,,,,,Mexico Total,,,2,11,11393,12190
,,,,Yucatan Total,,,,2,11,11393,12190
,,,Merida Total,,,,,2,11,11393,12190
,,,Mexico City,DF,Mexico,24/04/2013,$30K - $50K,1,4,1406,7752
,,,,,,24/04/2013 Total,,1,4,1406,7752
,,,,,Mexico Total,,,1,4,1406,7752
,,,,DF Total,,,,1,4,1406,7752
,,,Mexico City Total,,,,,1,4,1406,7752
,,,Orizaba,Veracruz,Mexico,21/09/2013,$50K - $70K,1,4,3761,11799
,,,,,,21/09/2013 Total,,1,4,3761,11799
,,,,,Mexico Total,,,1,4,3761,11799
,,,,Veracruz Total,,,,1,4,3761,11799
,,,Orizaba Total,,,,,1,4,3761,11799
,,,Portland,OR,USA,11/12/2012,$130K - $150K,1,2,9801,4364
,,,,,,11/12/2012 Total,,1,2,9801,4364
,,,,,USA Total,,,1,2,9801,4364
,,,,OR Total,,,,1,2,9801,4364
,,,Portland Total,,,,,1,2,9801,4364
,,,Salem,OR,USA,11/01/2012,$90K - $110K,1,5,1193,88
,,,,,,11/01/2012 Total,,1,5,1193,88
,,,,,,07/03/2012,$150K +,1,5,10118,736
,,,,,,07/03/2012 Total,,1,5,10118,736
,,,,,,11/03/2012,$10K - $30K,1,4,7149,791
,,,,,,11/03/2012 Total,,1,4,7149,791
,,,,,,29/05/2012,$30K - $50K,1,3,3977,1899
,,,,,,29/05/2012 Total,,1,3,3977,1899
,,,,,,18/08/2012,$30K - $50K,1,3,8098,2878
,,,,,,18/08/2012 Total,,1,3,8098,2878
,,,,,,28/09/2012,$70K - $90K,1,6,2444,3351
,,,,,,28/09/2012 Total,,1,6,2444,3351
,,,,,USA Total,,,6,26,32979,9743
,,,,OR Total,,,,6,26,32979,9743
,,,Salem Total,,,,,6,26,32979,9743
,,,San Andres,DF,Mexico,21/01/2013,$70K - $90K,1,4,52,5227
,,,,,,21/01/2013 Total,,1,4,52,5227
,,,,,,23/02/2013,$30K - $50K,1,6,2743,6148
,,,,,,23/02/2013 Total,,1,6,2743,6148
,,,,,Mexico Total,,,2,10,2795,11375
,,,,DF Total,,,,2,10,2795,11375
,,,San Andres Total,,,,,2,10,2795,11375
,,,San Francisco,CA,USA,22/07/2012,$130K - $150K,1,4,887,2543
,,,,,,22/07/2012 Total,,1,4,887,2543
,,,,,USA Total,,,1,4,887,2543
,,,,CA Total,,,,1,4,887,2543
,,,San Francisco Total,,,,,1,4,887,2543
,,,Spokane,WA,USA,01/03/2012,$130K - $150K,1,5,6113,647
,,,,,,01/03/2012 Total,,1,5,6113,647
,,,,,,03/05/2013,$90K - $110K,1,5,7072,7987
,,,,,,03/05/2013 Total,,1,5,7072,7987
,,,,,USA Total,,,2,10,13185,8634
,,,,WA Total,,,,2,10,13185,8634
,,,Spokane Total,,,,,2,10,13185,8634
,,,Victoria,BC,Canada,22/06/2013,$30K - $50K,1,4,8341,9360
,,,,,,22/06/2013 Total,,1,4,8341,9360
,,,,,Canada Total,,,1,4,8341,9360
,,,,BC Total,,,,1,4,8341,9360
,,,Victoria Total,,,,,1,4,8341,9360
,,,Yakima,WA,USA,20/09/2013,$30K - $50K,1,5,8945,11787
,,,,,,20/09/2013 Total,,1,5,8945,11787
,,,,,USA Total,,,1,5,8945,11787
,,,,WA Total,,,,1,5,8945,11787
,,,Yakima Total,,,,,1,5,8945,11787
,,S Total,,,,,,28,123,145773,167174
,F Total,,,,,,,53,223,270897,327555
,M,M,Camacho,Zacatecas,Mexico,29/01/2013,$30K - $50K,1,3,5927,5423
,,,,,,29/01/2013 Total,,1,3,5927,5423
,,,,,Mexico Total,,,1,3,5927,5423
,,,,Zacatecas Total,,,,1,3,5927,5423
,,,Camacho Total,,,,,1,3,5927,5423
,,,Los Angeles,CA,USA,01/04/2012,$30K - $50K,1,5,5824,1112
,,,,,,01/04/2012 Total,,1,5,5824,1112
,,,,,USA Total,,,1,5,5824,1112
,,,,CA Total,,,,1,5,5824,1112
,,,Los Angeles Total,,,,,1,5,5824,1112
,,,Mexico City,DF,Mexico,06/06/2013,$90K - $110K,1,4,6780,8923
,,,,,,06/06/2013 Total,,1,4,6780,8923
,,,,,Mexico Total,,,1,4,6780,8923
,,,,DF Total,,,,1,4,6780,8923
,,,Mexico City Total,,,,,1,4,6780,8923
,,,Portland,OR,USA,20/08/2012,$70K - $90K,1,6,5724,2899
,,,,,,20/08/2012 Total,,1,6,5724,2899
,,,,,USA Total,,,1,6,5724,2899
,,,,OR Total,,,,1,6,5724,2899
,,,Portland Total,,,,,1,6,5724,2899
,,,San Andres,DF,Mexico,26/04/2013,$30K - $50K,1,4,2990,7793
,,,,,,26/04/2013 Total,,1,4,2990,7793
,,,,,Mexico Total,,,1,4,2990,7793
,,,,DF Total,,,,1,4,2990,7793
,,,San Andres Total,,,,,1,4,2990,7793
,,,San Diego,CA,USA,01/11/2013,$50K - $70K,1,2,9306,12962
,,,,,,01/11/2013 Total,,1,2,9306,12962
,,,,,USA Total,,,1,2,9306,12962
,,,,CA Total,,,,1,2,9306,12962
,,,San Diego Total,,,,,1,2,9306,12962
,,,Seattle,WA,USA,27/08/2012,$10K - $30K,1,3,9920,2991
,,,,,,27/08/2012 Total,,1,3,9920,2991
,,,,,,18/02/2013,$10K - $30K,1,4,698,5994
,,,,,,18/02/2013 Total,,1,4,698,5994
,,,,,USA Total,,,2,7,10618,8985
,,,,WA Total,,,,2,7,10618,8985
,,,Seattle Total,,,,,2,7,10618,8985
,,,Spokane,WA,USA,18/04/2012,$30K - $50K,1,6,9631,1356
,,,,,,18/04/2012 Total,,1,6,9631,1356
,,,,,USA Total,,,1,6,9631,1356
,,,,WA Total,,,,1,6,9631,1356
,,,Spokane Total,,,,,1,6,9631,1356
,,,Tacoma,WA,USA,22/07/2013,$10K - $30K,1,2,7813,10219
,,,,,,22/07/2013 Total,,1,2,7813,10219
,,,,,USA Total,,,1,2,7813,10219
,,,,WA Total,,,,1,2,7813,10219
,,,Tacoma Total,,,,,1,2,7813,10219
,,,Vancouver,BC,Canada,19/01/2013,$30K - $50K,1,3,1068,5164
,,,,,,19/01/2013 Total,,1,3,1068,5164
,,,,,Canada Total,,,1,3,1068,5164
,,,,BC Total,,,,1,3,1068,5164
,,,Vancouver Total,,,,,1,3,1068,5164
,,,Yakima,WA,USA,11/09/2012,$50K - $70K,1,4,4567,3168
,,,,,,11/09/2012 Total,,1,4,4567,3168
,,,,,USA Total,,,1,4,4567,3168
,,,,WA Total,,,,1,4,4567,3168
,,,Yakima Total,,,,,1,4,4567,3168
,,M Total,,,,,,12,46,70248,68004
,,S,Bellingham,WA,USA,26/12/2011,$70K - $90K,1,4,2741,13
,,,,,,26/12/2011 Total,,1,4,2741,13
,,,,,USA Total,,,1,4,2741,13
,,,,WA Total,,,,1,4,2741,13
,,,Bellingham Total,,,,,1,4,2741,13
,,,Beverly Hills,CA,USA,14/04/2012,$110K - $130K,1,5,3345,1297
,,,,,,14/04/2012 Total,,1,5,3345,1297
,,,,,,03/06/2012,$50K - $70K,1,2,9686,1966
,,,,,,03/06/2012 Total,,1,2,9686,1966
,,,,,USA Total,,,2,7,13031,3263
,,,,CA Total,,,,2,7,13031,3263
,,,Beverly Hills Total,,,,,2,7,13031,3263
,,,Bremerton,WA,USA,15/01/2012,$30K - $50K,1,5,2924,115
,,,,,,15/01/2012 Total,,1,5,2924,115
,,,,,,03/06/2012,$30K - $50K,1,6,3693,1968
,,,,,,03/06/2012 Total,,1,6,3693,1968
,,,,,USA Total,,,2,11,6617,2083
,,,,WA Total,,,,2,11,6617,2083
,,,Bremerton Total,,,,,2,11,6617,2083
,,,Camacho,Zacatecas,Mexico,05/03/2013,$50K - $70K,1,4,8846,6418
,,,,,,05/03/2013 Total,,1,4,8846,6418
,,,,,Mexico Total,,,1,4,8846,6418
,,,,Zacatecas Total,,,,1,4,8846,6418
,,,Camacho Total,,,,,1,4,8846,6418
,,,Guadalajara,Jalisco,Mexico,31/03/2013,$50K - $70K,1,2,9378,7100
,,,,,,31/03/2013 Total,,1,2,9378,7100
,,,,,Mexico Total,,,1,2,9378,7100
,,,,Jalisco Total,,,,1,2,9378,7100
,,,Guadalajara Total,,,,,1,2,9378,7100
,,,Hidalgo,Zacatecas,Mexico,25/02/2013,$10K - $30K,1,5,2510,6200
,,,,,,25/02/2013 Total,,1,5,2510,6200
,,,,,Mexico Total,,,1,5,2510,6200
,,,,Zacatecas Total,,,,1,5,2510,6200
,,,Hidalgo Total,,,,,1,5,2510,6200
,,,Los Angeles,CA,USA,24/10/2012,$50K - $70K,1,4,1605,3680
,,,,,,24/10/2012 Total,,1,4,1605,3680
,,,,,,15/07/2013,$70K - $90K,1,3,4884,9999
,,,,,,15/07/2013 Total,,1,3,4884,9999
,,,,,USA Total,,,2,7,6489,13679
,,,,CA Total,,,,2,7,6489,13679
,,,Los Angeles Total,,,,,2,7,6489,13679
,,,Merida,Yucatan,Mexico,17/07/2013,$150K +,1,5,3125,10056
,,,,,,17/07/2013 Total,,1,5,3125,10056
,,,,,Mexico Total,,,1,5,3125,10056
,,,,Yucatan Total,,,,1,5,3125,10056
,,,Merida Total,,,,,1,5,3125,10056
,,,Orizaba,Veracruz,Mexico,01/11/2013,$110K - $130K,1,5,8952,12960
,,,,,,01/11/2013 Total,,1,5,8952,12960
,,,,,Mexico Total,,,1,5,8952,12960
,,,,Veracruz Total,,,,1,5,8952,12960
,,,Orizaba Total,,,,,1,5,8952,12960
,,,Salem,OR,USA,30/11/2012,$30K - $50K,1,3,6352,4181
,,,,,,30/11/2012 Total,,1,3,6352,4181
,,,,,,22/12/2012,$30K - $50K,1,5,7534,4540
,,,,,,22/12/2012 Total,,1,5,7534,4540
,,,,,,22/03/2013,$50K - $70K,1,5,9125,6851
,,,,,,22/03/2013 Total,,1,5,9125,6851
,,,,,USA Total,,,3,13,23011,15572
,,,,OR Total,,,,3,13,23011,15572
,,,Salem Total,,,,,3,13,23011,15572
,,,San Andres,DF,Mexico,08/05/2013,$30K - $50K,1,5,732,8136
,,,,,,08/05/2013 Total,,1,5,732,8136
,,,,,Mexico Total,,,1,5,732,8136
,,,,DF Total,,,,1,5,732,8136
,,,San Andres Total,,,,,1,5,732,8136
,,,Seattle,WA,USA,29/06/2013,$90K - $110K,1,4,996,9538
,,,,,,29/06/2013 Total,,1,4,996,9538
,,,,,USA Total,,,1,4,996,9538
,,,,WA Total,,,,1,4,996,9538
,,,Seattle Total,,,,,1,4,996,9538
,,,Spokane,WA,USA,11/04/2012,$30K - $50K,1,2,378,1247
,,,,,,11/04/2012 Total,,1,2,378,1247
,,,,,USA Total,,,1,2,378,1247
,,,,WA Total,,,,1,2,378,1247
,,,Spokane Total,,,,,1,2,378,1247
,,,Tacoma,WA,USA,08/11/2012,$70K - $90K,1,3,1337,3880
,,,,,,08/11/2012 Total,,1,3,1337,3880
,,,,,,18/09/2013,$10K - $30K,1,5,4700,11731
,,,,,,18/09/2013 Total,,1,5,4700,11731
,,,,,USA Total,,,2,8,6037,15611
,,,,WA Total,,,,2,8,6037,15611
,,,Tacoma Total,,,,,2,8,6037,15611
,,,Walla Walla,WA,USA,17/04/2013,$10K - $30K,1,4,5847,7546
,,,,,,17/04/2013 Total,,1,4,5847,7546
,,,,,USA Total,,,1,4,5847,7546
,,,,WA Total,,,,1,4,5847,7546
,,,Walla Walla Total,,,,,1,4,5847,7546
,,,Yakima,WA,USA,03/04/2013,$150K +,1,4,7370,7181
,,,,,,03/04/2013 Total,,1,4,7370,7181
,,,,,USA Total,,,1,4,7370,7181
,,,,WA Total,,,,1,4,7370,7181
,,,Yakima Total,,,,,1,4,7370,7181
,,S Total,,,,,,22,90,106060,126603
,M Total,,,,,,,34,136,176308,194607
Canned Tuna Total,,,,,,,,87,359,447205,522162
Carbonated Beverages,F,M,Acapulco,Guerrero,Mexico,05/04/2013,$30K - $50K,1,3,1553,7227
,,,,,,05/04/2013 Total,,1,3,1553,7227
,,,,,,19/07/2013,$10K - $30K,1,5,8231,10128
,,,,,,19/07/2013 Total,,1,5,8231,10128
,,,,,Mexico Total,,,2,8,9784,17355
,,,,Guerrero Total,,,,2,8,9784,17355
,,,Acapulco Total,,,,,2,8,9784,17355
,,,Bellingham,WA,USA,01/11/2012,$30K - $50K,1,3,4117,3789
,,,,,,01/11/2012 Total,,1,3,4117,3789
,,,,,,16/10/2013,$70K - $90K,1,4,1961,12483
,,,,,,16/10/2013 Total,,1,4,1961,12483
,,,,,USA Total,,,2,7,6078,16272
,,,,WA Total,,,,2,7,6078,16272
,,,Bellingham Total,,,,,2,7,6078,16272
,,,Beverly Hills,CA,USA,24/01/2013,$10K - $30K,1,6,6284,5309
,,,,,,24/01/2013 Total,,1,6,6284,5309
,,,,,,26/05/2013,$30K - $50K,1,5,9422,8618
,,,,,,26/05/2013 Total,,1,5,9422,8618
,,,,,,22/10/2013,$90K - $110K,1,5,9558,12677
,,,,,,22/10/2013 Total,,1,5,9558,12677
